sample_event_id,site,location,date,anpp_mean,anpp_std_err,respiration_mean,respiration_std_err
1,TR_FRW1,inflow,5/22/17,0.73,0.008850752,0.41398945,0.032460722
2,TR_FRW1,inflow,7/6/17,0.25,0.314447806,-0.120682891,0.004752052
3,TR_FRW1,inflow,7/18/17,0.73,0.022033506,-0.153995907,0.006188727
3,TR_FRW1,outflow ,7/18/17,0.45,0.033165733,-0.119708999,0.00326995
4,TR_FRW1,inflow,7/21/17,0.46,0.007689846,-0.066297073,0.012245959
4,TR_FRW1,outflow,7/21/17,0.18,0.023498451,-0.051126938,0.005714855
5,TR_FRW1,outflow,9/18/17,0.10,0.005433067,-0.013842934,0.004965112
6,TR_FRW1,inflow,9/29/17,0.29,0.011947644,-0.115318874,0.003399908
6,TR_FRW1,outflow,9/29/17,0.12,0.039731485,-0.026232573,0.012801887
7,TR_FRW1,inflow,11/17/17,-0.05,0.007517352,-0.00830618,0.014246653
7,TR_FRW1,outflow,11/17/17,-0.02,0.006082222,-0.013002448,0.006151844